Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
29,No,Travel_Rarely,1082.0,Research & Development,9,4.0,Medical,1709,4,Female,43.0,3.0,1.0,Laboratory Technician,3,Married,2974.0,25412.0,9,No,17.0,3.0,3.0,1.0,9,2.0,3,5,3.0,1.0,2.0
27,No,Travel_Rarely,1157.0,Research & Development,17,3.0,Technical Degree,233,3,Male,51.0,3.0,1.0,Research Scientist,2,Married,3058.0,13364.0,0,Yes,16.0,3.0,4.0,1.0,6,3.0,2,5,2.0,1.0,1.0
40,Yes,Travel_Rarely,806.0,Human Resources,8,4.0,Human Resources,2297,3,Male,60.0,3.0,1.0,Human Resources,1,Divorced,2071.0,23645.0,4,Yes,23.0,4.0,4.0,0.0,7,3.0,3,4,2.0,0.0,2.0
26,No,Travel_Frequently,1283.0,Sales,1,3.0,Medical,956,3,Male,52.0,2.0,2.0,Sales Executive,1,Single,4294.0,11148.0,1,No,12.0,3.0,2.0,0.0,7,2.0,3,7,7.0,0.0,7.0
56,No,Travel_Rarely,713.0,Research & Development,8,3.0,Life Sciences,241,3,Female,67.0,3.0,1.0,Research Scientist,1,Divorced,4257.0,13939.0,4,Yes,18.0,3.0,3.0,1.0,19,3.0,3,2,2.0,2.0,2.0
32,No,Travel_Rarely,588.0,Sales,8,2.0,Technical Degree,436,3,Female,65.0,2.0,2.0,Sales Executive,2,Married,5228.0,24624.0,1,Yes,11.0,3.0,4.0,0.0,13,2.0,3,13,12.0,11.0,9.0
34,No,Travel_Rarely,1371.0,Research & Development,25,4.0,Life Sciences,2347,4,Male,51.0,3.0,2.0,Manufacturing Director,3,Married,6882.0,5152.0,2,No,19.0,3.0,2.0,1.0,20,3.0,3,8,7.0,0.0,7.0
18,No,Non-Travel,1124.0,Research & Development,1,3.0,Life Sciences,1368,4,Female,97.0,3.0,1.0,Laboratory Technician,4,Single,1611.0,19305.0,1,No,15.0,3.0,3.0,0.0,0,5.0,4,0,0.0,0.0,0.0
56,No,Travel_Rarely,186.0,Human Resources,29,4.0,Human Resources,2487,3,Male,70.0,4.0,5.0,Manager,2,Married,16679.875,25811.0,4,Yes,15.0,3.0,1.0,1.0,35,0.0,3,13,9.0,1.0,4.0
30,No,Travel_Rarely,911.0,Research & Development,1,2.0,Medical,1989,4,Male,76.0,3.0,1.0,Laboratory Technician,2,Married,3748.0,4077.0,1,No,13.0,3.0,3.0,0.0,12,6.0,2,12,8.0,1.0,7.0
35,No,Travel_Rarely,1214.0,Research & Development,1,3.0,Medical,105,2,Male,30.0,2.0,1.0,Research Scientist,3,Single,2859.0,26278.0,1,No,18.0,3.0,1.0,0.0,6,3.0,3,6,4.0,0.0,4.0
32,Yes,Travel_Rarely,964.0,Sales,1,2.0,Life Sciences,1734,1,Male,34.0,1.0,2.0,Sales Executive,2,Single,6735.0,12147.0,6,No,15.0,3.0,2.0,0.0,10,2.0,3,0,0.0,0.0,0.0
41,No,Travel_Rarely,321.0,Research & Development,23,3.0,Medical,2299,4,Male,54.0,3.0,3.0,Manufacturing Director,1,Married,7405.0,6951.0,1,Yes,23.0,4.0,4.0,1.0,7,5.0,2,10,9.0,5.0,8.0
41,Yes,Travel_Rarely,1085.0,Research & Development,7,4.0,Life Sciences,927,2,Female,57.0,1.0,1.0,Laboratory Technician,4,Divorced,2778.0,17725.0,4,Yes,13.0,3.0,3.0,1.0,10,1.0,2,7,7.0,1.0,0.0
29,No,Non-Travel,746.0,Sales,2,3.0,Life Sciences,469,4,Male,61.0,3.0,2.0,Sales Executive,3,Married,4649.0,16928.0,1,No,14.0,3.0,1.0,1.0,4,3.0,2,4,3.0,0.0,2.0
28,No,Travel_Frequently,166.0,Research & Development,26,1.0,Technical Degree,2094,4,Female,29.0,3.0,2.0,Manufacturing Director,4,Single,5240.0,6670.0,2,No,18.0,4.0,4.0,0.0,10,3.0,2,2,4.0,1.0,4.0
38,No,Travel_Rarely,437.0,Sales,16,3.0,Life Sciences,1583,2,Female,90.0,3.0,2.0,Sales Executive,2,Single,4198.0,16379.0,2,No,12.0,3.0,2.0,0.0,8,5.0,4,3,2.0,1.0,2.0
25,No,Travel_Rarely,622.0,Sales,13,1.0,Medical,645,2,Male,40.0,3.0,1.0,Sales Representative,3,Married,2096.0,26376.0,2,No,11.0,3.0,3.0,0.0,7,1.0,3,7,4.0,0.0,6.0
54,No,Non-Travel,142.0,Human Resources,26,3.0,Human Resources,148,4,Female,30.0,4.0,4.0,Manager,4,Single,16679.875,13871.0,2,Yes,12.0,3.0,3.0,0.0,23,3.0,3,5,3.0,4.0,4.0
44,No,Travel_Rarely,568.0,Sales,13,3.0,Medical,2172,3,Female,75.0,3.0,2.0,Sales Executive,3,Married,4588.0,24198.0,3,Yes,19.0,3.0,3.0,1.0,12,4.0,2,7,4.0,1.0,2.0
27,No,Travel_Rarely,1469.0,Research & Development,1,2.0,Medical,497,4,Male,82.0,3.0,1.0,Laboratory Technician,2,Divorced,3816.0,17881.0,1,No,11.0,3.0,2.0,1.0,5,2.0,3,5,2.0,0.0,4.0
31,Yes,Travel_Frequently,561.0,Research & Development,3,3.0,Life Sciences,1537,3,Female,33.0,3.0,1.0,Research Scientist,3,Single,4084.0,4156.0,1,No,12.0,3.0,1.0,0.0,7,2.0,1,7,2.0,7.0,7.0
44,No,Travel_Rarely,477.0,Research & Development,7,4.0,Medical,36,1,Female,42.0,2.0,3.0,Healthcare Representative,3,Married,10248.0,2094.0,3,No,14.0,3.0,4.0,1.0,24,4.0,3,22,6.0,5.0,17.0
36,No,Travel_Rarely,479.0,Research & Development,7,4.0,Medical,1577,1,Male,35.0,3.0,1.0,Research Scientist,4,Single,2972.0,22061.0,1,No,13.0,3.0,3.0,0.0,1,4.0,1,1,0.0,0.0,0.0
55,No,Travel_Rarely,1311.0,Research & Development,2,3.0,Life Sciences,505,3,Female,97.0,3.0,4.0,Manager,4,Single,16659.0,23258.0,2,Yes,13.0,3.0,3.0,0.0,30,2.0,3,5,4.0,1.0,2.0
30,No,Travel_Rarely,946.0,Research & Development,2,3.0,Medical,833,3,Female,52.0,2.0,2.0,Manufacturing Director,4,Single,6877.0,20234.0,5,Yes,24.0,4.0,2.0,0.0,12,4.0,2,0,0.0,0.0,0.0
29,No,Travel_Rarely,591.0,Sales,6,2.0,Technical Degree,2101,3,Female,67.0,2.0,2.0,Sales Executive,2,Married,5225.0,24623.0,1,Yes,14.0,3.0,4.0,0.0,12,2.0,3,11,12.0,11.0,9.0
24,Yes,Travel_Rarely,240.0,Research & Development,22,1.0,Human Resources,1714,4,Male,58.0,1.0,1.0,Human Resources,3,Married,1555.0,11585.0,1,No,11.0,3.0,3.0,1.0,1,2.0,3,1,0.0,0.0,0.0
50,No,Travel_Rarely,527.0,Research & Development,8,2.0,Other,944,1,Female,51.0,3.0,3.0,Laboratory Technician,2,Married,7403.0,22477.0,4,No,11.0,3.0,3.0,1.0,29,3.0,2,26,9.0,1.0,7.0
45,No,Non-Travel,1147.0,Research & Development,6,4.0,Medical,2416,3,Female,32.0,3.0,2.0,Manufacturing Director,3,Married,5255.0,16047.0,2,No,14.0,3.0,3.0,0.0,5,2.0,4,0,0.0,0.0,0.0
21,No,Travel_Rarely,822.0,Research & Development,20,2.0,Other,2408,4,Male,92.0,2.0,1.0,Laboratory Technician,2,Married,2130.0,9100.0,1,No,22.0,4.0,4.0,1.0,2,2.0,3,2,0.0,0.0,0.0
41,No,Travel_Rarely,1283.0,Research & Development,5,5.0,Medical,1448,2,Male,90.0,4.0,1.0,Research Scientist,3,Married,2127.0,5561.0,2,Yes,12.0,3.0,1.0,0.0,7,5.0,2,4,2.0,0.0,3.0
26,Yes,Travel_Frequently,887.0,Research & Development,5,2.0,Medical,848,3,Female,88.0,2.0,1.0,Research Scientist,3,Married,2366.0,20898.0,1,Yes,14.0,3.0,1.0,1.0,8,2.0,3,8,7.0,1.0,7.0
31,Yes,Travel_Rarely,374.0,Research & Development,22,4.0,Life Sciences,2244,1,Male,84.0,3.0,1.0,Laboratory Technician,4,Single,2795.0,18013.0,1,Yes,25.0,4.0,3.0,0.0,0,2.0,1,3,0.0,0.0,1.0
50,No,Travel_Frequently,809.0,Sales,12,3.0,Marketing,174,3,Female,77.0,3.0,3.0,Sales Executive,4,Single,9208.0,6645.0,4,No,11.0,3.0,4.0,0.0,16,3.0,3,2,2.0,2.0,1.0
26,Yes,Travel_Rarely,950.0,Sales,4,4.0,Marketing,401,4,Male,48.0,2.0,2.0,Sales Executive,4,Single,5828.0,8450.0,1,Yes,12.0,3.0,2.0,0.0,8,0.0,3,8,7.0,7.0,4.0
29,Yes,Travel_Rarely,896.0,Research & Development,18,1.0,Medical,315,3,Male,86.0,2.0,1.0,Research Scientist,4,Single,2389.0,14961.0,1,Yes,13.0,3.0,3.0,0.0,4,3.0,2,4,3.0,0.0,1.0
25,No,Travel_Rarely,309.0,Human Resources,2,3.0,Human Resources,1987,3,Male,82.0,3.0,1.0,Human Resources,2,Married,2187.0,19655.0,4,No,14.0,3.0,3.0,0.0,6,3.0,3,2,0.0,1.0,2.0
29,No,Travel_Rarely,718.0,Research & Development,8,1.0,Medical,1150,2,Male,79.0,2.0,2.0,Manufacturing Director,4,Married,5056.0,17689.0,1,Yes,15.0,3.0,3.0,1.0,10,2.0,3,10,7.0,1.0,2.0
36,No,Travel_Rarely,194.0,Research & Development,7,3.0,Life Sciences,2524,2,Male,62.0,3.0,2.0,Laboratory Technician,2,Divorced,2346.0,10903.0,2,No,21.0,3.0,3.0,1.0,22,2.0,1,15,9.0,0.0,15.0
27,No,Non-Travel,443.0,Research & Development,7,3.0,Medical,850,3,Male,50.0,3.0,1.0,Research Scientist,4,Married,1706.0,16571.0,1,No,11.0,3.0,3.0,3.0,0,6.0,2,0,0.0,0.0,0.0
36,No,Travel_Rarely,325.0,Research & Development,10,4.0,Technical Degree,1312,4,Female,63.0,3.0,3.0,Healthcare Representative,3,Married,7094.0,5747.0,3,No,12.0,3.0,1.0,0.0,10,0.0,3,7,7.0,1.0,7.0
57,Yes,Travel_Rarely,1164.0,Research & Development,26,2.0,Life Sciences,2268,1,Male,98.0,3.0,1.0,Laboratory Technician,4,Single,2589.0,10262.0,1,No,14.0,3.0,4.0,0.0,2,3.0,3,1,2.0,1.0,0.0
43,No,Travel_Rarely,990.0,Research & Development,27,3.0,Technical Degree,1599,4,Male,87.0,4.0,1.0,Laboratory Technician,2,Divorced,4876.0,5855.0,5,No,12.0,3.0,3.0,1.0,8,0.0,3,6,4.0,0.0,2.0
35,Yes,Travel_Rarely,622.0,Research & Development,14,4.0,Other,1010,3,Male,39.0,2.0,1.0,Laboratory Technician,2,Divorced,3743.0,10074.0,1,Yes,24.0,4.0,4.0,1.0,5,2.0,1,4,2.0,0.0,2.0
32,Yes,Travel_Rarely,1086.0,Research & Development,7,2.0,Life Sciences,2577,4,Male,80.0,3.0,2.0,Laboratory Technician,3,Married,4881.0,22845.0,1,No,17.0,3.0,1.0,1.0,9,3.0,3,13,4.0,1.0,1.0
29,Yes,Travel_Frequently,115.0,Sales,13,3.0,Technical Degree,1487,1,Female,51.0,3.0,2.0,Sales Executive,2,Single,5765.0,17485.0,5,No,11.0,3.0,1.0,0.0,7,4.0,1,5,3.0,0.0,0.0
35,Yes,Travel_Frequently,1074.0,Research & Development,5,3.0,Life Sciences,2459,1,Male,68.0,3.0,1.0,Research Scientist,1,Single,3346.0,3165.0,1,Yes,12.0,3.0,1.0,0.0,13,3.0,3,10,8.0,9.0,7.0
27,No,Travel_Frequently,1242.0,Sales,20,3.0,Life Sciences,293,4,Female,90.0,3.0,2.0,Sales Executive,3,Single,9981.0,12916.0,1,No,14.0,3.0,4.0,0.0,7,2.0,3,7,7.0,0.0,7.0
24,No,Travel_Rarely,477.0,Research & Development,24,3.0,Medical,1173,4,Male,49.0,3.0,1.0,Laboratory Technician,2,Single,3597.0,6409.0,8,No,22.0,4.0,4.0,0.0,6,2.0,3,4,3.0,1.0,2.0
42,No,Travel_Rarely,1040.0,Research & Development,7,3.0,Medical,2180,2,Male,96.0,1.0,3.0,Healthcare Representative,1,Divorced,10853.0,19861.0,2,Yes,20.0,3.0,2.0,1.0,26,2.0,3,6,7.0,0.0,7.0
47,Yes,Travel_Frequently,719.0,Sales,27,2.0,Life Sciences,785,2,Female,77.0,4.0,2.0,Sales Executive,3,Single,6397.0,10339.0,4,Yes,12.0,3.0,4.0,0.0,8,2.0,3,5,4.0,1.0,3.0
29,No,Travel_Rarely,232.0,Research & Development,19,3.0,Technical Degree,611,3,Male,34.0,3.0,2.0,Manufacturing Director,4,Divorced,4262.0,22645.0,4,No,12.0,3.0,2.0,2.0,8,2.0,4,3,2.0,1.0,2.0
32,No,Travel_Rarely,1018.0,Research & Development,2,4.0,Medical,439,1,Female,74.0,4.0,2.0,Research Scientist,4,Single,5055.0,10557.0,7,No,16.0,3.0,3.0,0.0,10,0.0,2,7,7.0,0.0,7.0
31,No,Travel_Rarely,311.0,Research & Development,20,3.0,Life Sciences,1881,2,Male,89.0,3.0,2.0,Laboratory Technician,3,Divorced,4197.0,18624.0,1,No,11.0,3.0,1.0,1.0,10,2.0,3,10,8.0,0.0,2.0
36,Yes,Travel_Frequently,827.0,Research & Development,30,4.0,Medical,2548,1,Female,53.0,2.0,2.0,Research Scientist,3,Single,4506.0,3126.0,2,No,25.0,4.0,2.0,0.0,12,4.0,3,11,7.0,3.0,8.0
29,Yes,Travel_Rarely,653.0,Research & Development,1,2.0,Life Sciences,2441,1,Female,67.0,1.0,1.0,Research Scientist,3,Single,2214.0,3871.0,7,Yes,16.0,3.0,4.0,0.0,7,4.0,3,9,7.0,3.0,7.0
34,No,Travel_Frequently,829.0,Research & Development,15,3.0,Medical,1485,2,Male,71.0,3.0,4.0,Research Director,1,Divorced,16679.875,11929.0,7,No,14.0,3.0,4.0,2.0,16,3.0,2,14,8.0,6.0,9.0
43,No,Travel_Rarely,1037.0,Sales,13,3.0,Marketing,2070,4,Female,83.0,3.0,4.0,Manager,4,Married,16061.0,7746.0,5,Yes,24.0,4.0,3.0,1.0,24,3.0,3,5,13.0,1.0,9.0
28,Yes,Travel_Rarely,329.0,Research & Development,24,3.0,Medical,1604,3,Male,51.0,3.0,1.0,Laboratory Technician,2,Married,2408.0,7324.0,1,Yes,17.0,3.0,3.0,3.0,1,3.0,3,1,1.0,0.0,0.0
32,No,Travel_Rarely,1081.0,Sales,7,3.0,Technical Degree,2628,2,Female,80.0,3.0,2.0,Sales Executive,3,Single,6579.0,19557.0,2,No,8.0,3.0,2.0,0.0,10,6.0,3,7,4.0,4.0,4.0
55,No,Travel_Frequently,135.0,Research & Development,18,4.0,Medical,1034,3,Male,62.0,3.0,2.0,Healthcare Representative,2,Married,6385.0,12992.0,3,Yes,14.0,3.0,4.0,2.0,17,3.0,3,8,7.0,6.0,7.0
29,No,Travel_Rarely,1246.0,Sales,19,3.0,Life Sciences,1497,3,Male,77.0,2.0,2.0,Sales Executive,3,Divorced,8620.0,23757.0,1,No,14.0,3.0,3.0,2.0,10,3.0,3,10,7.0,0.0,4.0
36,Yes,Travel_Rarely,885.0,Research & Development,16,4.0,Life Sciences,1042,3,Female,43.0,4.0,1.0,Laboratory Technician,1,Single,2743.0,8269.0,1,No,16.0,3.0,3.0,0.0,18,1.0,3,17,13.0,15.0,14.0
30,No,Travel_Rarely,488.0,Research & Development,5,3.0,Medical,2608,2,Female,84.0,4.0,1.0,Research Scientist,3,Married,3515.0,22488.0,7,No,18.0,3.0,1.0,0.0,3,0.0,3,3,2.0,0.0,2.0
30,No,Travel_Rarely,231.0,Research & Development,8,2.0,Other,982,3,Male,62.0,3.0,3.0,Sales Executive,3,Divorced,7264.0,9977.0,5,No,11.0,3.0,1.0,1.0,10,2.0,4,8,4.0,7.0,7.0
47,No,Non-Travel,1048.0,Sales,11,4.0,Life Sciences,2570,2,Female,65.0,2.0,2.0,Sales Executive,3,Married,5596.0,17970.0,1,No,12.0,3.0,4.0,1.0,14,2.0,3,18,10.0,4.0,12.0
24,Yes,Travel_Rarely,1448.0,Sales,1,1.0,Technical Degree,554,1,Female,62.0,3.0,1.0,Sales Representative,2,Single,4967.0,21972.0,1,Yes,16.0,3.0,2.0,0.0,6,4.0,3,5,3.0,1.0,4.0
39,No,Non-Travel,792.0,Research & Development,1,3.0,Life Sciences,1737,4,Male,77.0,3.0,2.0,Laboratory Technician,4,Married,16679.875,8989.0,1,Yes,15.0,3.0,4.0,1.0,9,2.0,3,9,8.0,5.0,8.0
24,No,Travel_Rarely,581.0,Research & Development,9,3.0,Medical,1707,3,Male,62.0,4.0,1.0,Research Scientist,3,Married,4401.0,17616.0,2,No,16.0,3.0,4.0,1.0,5,1.0,3,5,3.0,0.0,4.0
44,No,Travel_Rarely,1448.0,Sales,28,3.0,Life Sciences,1039,4,Female,53.0,4.0,4.0,Sales Executive,4,Married,13320.0,11737.0,3,Yes,18.0,3.0,3.0,1.0,23,2.0,3,12,11.0,11.0,11.0
32,No,Non-Travel,1146.0,Research & Development,15,4.0,Medical,1955,3,Female,34.0,3.0,2.0,Healthcare Representative,4,Divorced,6667.0,16542.0,2,No,18.0,3.0,2.0,1.0,9,6.0,3,5,1.0,1.0,2.0
53,No,Travel_Rarely,102.0,Research & Development,23,4.0,Life Sciences,901,4,Female,72.0,3.0,4.0,Research Director,4,Single,14275.0,20206.0,2,No,18.0,3.0,3.0,0.0,33,0.0,3,12,9.0,3.0,8.0
42,No,Travel_Frequently,532.0,Research & Development,29,2.0,Life Sciences,547,1,Female,92.0,3.0,2.0,Research Scientist,3,Divorced,4556.0,12932.0,2,No,11.0,3.0,2.0,1.0,19,3.0,3,5,4.0,0.0,2.0
28,Yes,Travel_Rarely,529.0,Research & Development,7,4.0,Life Sciences,364,1,Male,79.0,3.0,1.0,Laboratory Technician,3,Single,3485.0,14935.0,2,No,11.0,3.0,3.0,0.0,5,5.0,1,0,0.0,0.0,0.0
49,No,Travel_Rarely,1491.0,Research & Development,4,4.0,Life Sciences,2576,3,Male,38.0,3.0,3.0,Healthcare Representative,2,Divorced,10465.0,20947.0,3,No,15.0,3.0,2.0,2.0,26,3.0,3,8,7.0,0.0,7.0
46,No,Travel_Rarely,1277.0,Sales,2,3.0,Life Sciences,1732,3,Male,74.0,3.0,3.0,Sales Executive,4,Divorced,10368.0,5596.0,4,Yes,12.0,3.0,2.0,1.0,13,5.0,2,10,6.0,0.0,3.0
36,Yes,Travel_Rarely,515.0,Research & Development,1,3.0,Life Sciences,331,4,Male,62.0,2.0,1.0,Laboratory Technician,3,Single,3730.0,9571.0,0,Yes,14.0,3.0,4.0,0.0,4,2.0,1,3,2.0,1.0,2.0
27,No,Travel_Rarely,190.0,Research & Development,0,2.0,Medical,2404,1,Male,57.0,2.0,1.0,Laboratory Technician,1,Married,3953.0,11144.0,1,No,13.0,3.0,1.0,2.0,7,2.0,3,7,3.0,1.0,3.0
32,No,Non-Travel,300.0,Research & Development,1,3.0,Life Sciences,882,4,Male,61.0,3.0,1.0,Laboratory Technician,4,Divorced,2314.0,9148.0,0,No,12.0,3.0,2.0,1.0,4,2.0,3,3,0.0,0.0,2.0
39,No,Travel_Frequently,474.0,Research & Development,9,3.0,Life Sciences,2652,1,Male,44.0,2.0,2.0,Healthcare Representative,1,Divorced,6290.0,4282.0,2,No,14.0,3.0,3.0,1.0,14,3.0,2,5,3.0,1.0,2.0
38,No,Travel_Rarely,217.0,Research & Development,18,2.0,Other,2158,4,Female,43.0,2.0,2.0,Manufacturing Director,2,Married,4786.0,25386.0,0,Yes,11.0,3.0,4.0,0.0,4,2.0,3,3,2.0,0.0,2.0
30,No,Travel_Rarely,853.0,Research & Development,7,4.0,Life Sciences,1224,3,Male,49.0,3.0,2.0,Laboratory Technician,3,Divorced,3491.0,11309.0,1,No,13.0,3.0,1.0,3.0,10,4.0,2,10,7.0,8.0,9.0
28,Yes,Travel_Frequently,460.0,Research & Development,22,2.0,Life Sciences,2382,4,Male,72.0,2.0,1.0,Research Scientist,4,Single,4967.0,14756.0,1,Yes,24.0,4.0,2.0,0.0,0,3.0,2,3,0.0,1.0,0.0
23,No,Travel_Rarely,310.0,Research & Development,10,1.0,Medical,784,1,Male,79.0,4.0,1.0,Research Scientist,3,Single,3505.0,19630.0,1,No,18.0,3.0,4.0,0.0,2,3.0,3,2,2.0,0.0,2.0
55,No,Travel_Rarely,1441.0,Research & Development,22,3.0,Technical Degree,1694,3,Male,94.0,2.0,1.0,Research Scientist,2,Divorced,3537.0,23737.0,5,No,12.0,3.0,4.0,1.0,8,1.0,3,4,2.0,1.0,2.0
35,No,Travel_Rarely,670.0,Research & Development,10,4.0,Medical,1587,1,Female,51.0,3.0,2.0,Healthcare Representative,3,Single,6142.0,4223.0,3,Yes,16.0,3.0,3.0,0.0,10,4.0,3,5,2.0,0.0,4.0
34,No,Travel_Rarely,665.0,Research & Development,6,4.0,Other,138,1,Female,41.0,3.0,2.0,Research Scientist,3,Single,4809.0,12482.0,1,No,14.0,3.0,3.0,0.0,16,3.0,3,16,13.0,2.0,10.0
46,No,Travel_Rarely,1038.0,Research & Development,20,3.0,Medical,1460,2,Male,95.0,1.0,3.0,Healthcare Representative,1,Divorced,10851.0,19863.0,2,Yes,18.0,3.0,2.0,1.0,24,2.0,3,7,7.0,0.0,7.0
58,No,Non-Travel,390.0,Research & Development,1,4.0,Life Sciences,422,4,Male,32.0,1.0,2.0,Healthcare Representative,3,Divorced,5660.0,17056.0,2,Yes,13.0,3.0,4.0,1.0,12,2.0,3,5,3.0,1.0,2.0
20,Yes,Travel_Rarely,129.0,Research & Development,4,3.0,Technical Degree,960,1,Male,84.0,3.0,1.0,Laboratory Technician,1,Single,2973.0,13008.0,1,No,19.0,3.0,2.0,0.0,1,2.0,3,1,0.0,0.0,0.0
33,No,Travel_Frequently,827.0,Research & Development,1,4.0,Other,998,3,Female,84.0,4.0,2.0,Healthcare Representative,2,Married,5488.0,20161.0,1,Yes,13.0,3.0,1.0,1.0,6,2.0,3,6,5.0,1.0,2.0
37,No,Travel_Rarely,571.0,Research & Development,10,1.0,Life Sciences,802,4,Female,82.0,3.0,1.0,Research Scientist,1,Divorced,2782.0,19905.0,0,Yes,13.0,3.0,2.0,2.0,6,3.0,2,5,3.0,4.0,3.0
22,No,Travel_Rarely,374.0,Research & Development,1,2.0,Life Sciences,2222,4,Male,46.0,3.0,1.0,Research Scientist,3,Married,1222.0,16900.0,1,No,19.0,4.0,4.0,1.0,1,2.0,3,1,0.0,0.0,1.0
35,No,Travel_Frequently,944.0,Sales,1,3.0,Marketing,314,3,Female,92.0,3.0,3.0,Sales Executive,3,Single,8789.0,9096.0,1,No,14.0,3.0,1.0,0.0,10,3.0,4,10,7.0,0.0,8.0
34,No,Travel_Frequently,878.0,Research & Development,10,4.0,Medical,277,4,Male,43.0,3.0,1.0,Research Scientist,3,Divorced,3815.0,5972.0,2,Yes,17.0,3.0,4.0,1.0,5,4.0,4,5,3.0,2.0,0.0
43,No,Travel_Rarely,1179.0,Sales,2,3.0,Medical,1706,4,Male,73.0,3.0,2.0,Sales Executive,4,Married,7847.0,6069.0,1,Yes,17.0,3.0,1.0,1.0,10,3.0,3,10,9.0,8.0,8.0
36,No,Travel_Rarely,1320.0,Research & Development,20,3.0,Technical Degree,1265,3,Female,89.0,4.0,1.0,Research Scientist,3,Married,2585.0,21643.0,0,No,17.0,3.0,4.0,0.0,2,5.0,2,5,0.0,0.0,0.0
32,No,Travel_Rarely,495.0,Research & Development,10,3.0,Medical,1516,3,Male,64.0,3.0,3.0,Manager,4,Single,11244.0,21072.0,2,No,25.0,4.0,2.0,0.0,10,5.0,4,5,2.0,0.0,0.0
50,No,Travel_Frequently,1066.0,Research & Development,2,1.0,Life Sciences,2583,2,Male,42.0,3.0,5.0,Research Director,4,Married,16679.875,13735.0,3,No,12.0,3.0,4.0,0.0,29,3.0,3,6,4.0,4.0,3.0
41,No,Travel_Rarely,437.0,Sales,16,3.0,Life Sciences,2214,2,Male,91.0,3.0,2.0,Sales Executive,2,Single,4198.0,16378.0,2,No,10.0,3.0,2.0,0.0,6,5.0,4,3,2.0,1.0,2.0
27,No,Travel_Rarely,993.0,Research & Development,11,3.0,Medical,2484,3,Female,80.0,3.0,1.0,Research Scientist,3,Divorced,4967.0,9834.0,5,No,21.0,3.0,2.0,1.0,8,2.0,3,0,2.0,2.0,2.0
